executed_at,platform,application,service,transaction_id,trade_uuid,type,amount,uti,caaj_from,caaj_to,comment
2022-07-19 09:49:36,osmosis,osmosis,osmosis,1295F7D779AE181595B2FC1586076292A9891E8D3F72F0B977097CE13A315500,edc06d82-d2a0-4b85-b8b2-0b38009ed8ce,receive,10.6,atom,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-19 09:49:54,osmosis,osmosis,swap,18A96AD5BEE5DB8DFA7B8234677E7BD4D1CC02FADF1DF7BE1FC7549DE6968B65,6af2f985-1bab-4b94-8804-901801ea6563,lose,10.6,atom,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,
2022-07-19 09:49:54,osmosis,osmosis,swap,18A96AD5BEE5DB8DFA7B8234677E7BD4D1CC02FADF1DF7BE1FC7549DE6968B65,6af2f985-1bab-4b94-8804-901801ea6563,get,110.941696,osmo,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-19 09:50:19,osmosis,osmosis,osmosis,EA74D8E716B28FDEAC993189B87901B3B0BF9C1090D3E2D9EA17BC6F16BEBC73,,send,50009685369086.974,ibc%2F6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,evmos1d687a7ws445s99updtl96cmr3nn7n4v3r4gffy,
2022-07-19 09:50:19,osmosis,osmosis,osmosis,EA74D8E716B28FDEAC993189B87901B3B0BF9C1090D3E2D9EA17BC6F16BEBC73,,lose,0.01125,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-19 09:52:27,osmosis,osmosis,swap,9E4DBE8BBD05ABFBF344981934B3DED5D3D759231E4F926F04DFB29239BC413E,23211858-fa5f-432c-a2f6-112ed667bf46,get,2289054475851.60914,ibc%2F6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,osmo102ryca72c5ktx2ruzt8ag6mvtczdqeuvm82l09vd5uq597e7hn7sqgw28l,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-19 09:52:27,osmosis,osmosis,swap,9E4DBE8BBD05ABFBF344981934B3DED5D3D759231E4F926F04DFB29239BC413E,23211858-fa5f-432c-a2f6-112ed667bf46,lose,5.203741,osmo,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo102ryca72c5ktx2ruzt8ag6mvtczdqeuvm82l09vd5uq597e7hn7sqgw28l,
2022-07-19 09:52:57,osmosis,osmosis,osmosis,1B50A71CD11C558C07CE794D8BF94ECCFD9C1F976C03BB09021BE7A2859F93B3,,send,2289054475851.6085,ibc%2F6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,evmos1d687a7ws445s99updtl96cmr3nn7n4v3r4gffy,
2022-07-19 09:52:57,osmosis,osmosis,osmosis,1B50A71CD11C558C07CE794D8BF94ECCFD9C1F976C03BB09021BE7A2859F93B3,,lose,0.01125,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-26 08:46:38,osmosis,osmosis,swap,CC27DF56D542B715FC1E5B8AFAB44A5C813F368BA4B11C1354C722B96BE8E6CA,2175a251-3dc0-41a3-8c72-cb121b773644,lose,2.587495,osmo,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1l265e7cug3tk3eugex8hpq2adk5drdecxzp6lsytn6dls6jpjkssvp9zqe,
2022-07-26 08:46:38,osmosis,osmosis,swap,CC27DF56D542B715FC1E5B8AFAB44A5C813F368BA4B11C1354C722B96BE8E6CA,2175a251-3dc0-41a3-8c72-cb121b773644,get,2.31473,scrt,osmo1l265e7cug3tk3eugex8hpq2adk5drdecxzp6lsytn6dls6jpjkssvp9zqe,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-07-26 08:46:38,osmosis,osmosis,osmosis,CC27DF56D542B715FC1E5B8AFAB44A5C813F368BA4B11C1354C722B96BE8E6CA,,lose,0.00625,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-26 08:50:05,osmosis,osmosis,osmosis,5A642DB2B0F7A1B2BD92619A51C9669072545AB51D6501C912BBF0055B167E1B,,send,2.31473,scrt,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,secret1p95g0qz2v85xs9axd0x75na40v6k3wunruffhr,
2022-07-26 08:50:05,osmosis,osmosis,osmosis,5A642DB2B0F7A1B2BD92619A51C9669072545AB51D6501C912BBF0055B167E1B,,lose,0.00325,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-27 06:59:50,osmosis,osmosis,osmosis,114D2A1A4C788357C8F9BAB55B6EB53BD8B643443D426E6AF15837D5063B74EC,,lose,0.0025,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-07-27 06:59:50,osmosis,osmosis,staking,114D2A1A4C788357C8F9BAB55B6EB53BD8B643443D426E6AF15837D5063B74EC,9dd125e4-c3aa-4905-98b9-6a3c10b2939f,deposit,81,osmo,osmo1hwln2wmja39xw54n6khpe94mqetrupe2f9wwec,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-08-08 14:02:26,osmosis,osmosis,swap,D9A848E2D8258394D46A0BEC7DE8FF56066C8B8D9DAE35CFACC508F4A1514689,1a188cd7-abc7-47b9-9f66-bfad63c9f4cd,get,63.79218,ibc%2FBB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE,osmo1xlq92gxx6a9zca4gjculx80gmpykh6lz2npustn27s7g7t2hcels964a7n,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-08-08 14:02:26,osmosis,osmosis,swap,D9A848E2D8258394D46A0BEC7DE8FF56066C8B8D9DAE35CFACC508F4A1514689,1a188cd7-abc7-47b9-9f66-bfad63c9f4cd,lose,43,osmo,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1xlq92gxx6a9zca4gjculx80gmpykh6lz2npustn27s7g7t2hcels964a7n,
2022-08-08 14:08:19,osmosis,osmosis,osmosis,E3B2B47EC83E466B36AA30D2A97B0CF9D4C3D77604BA010A8AE49315B9D8B938,,send,63.79218,ibc%2FBB6BCDB515050BAE97516111873CCD7BCF1FD0CCB723CC12F3C4F704D6C646CE,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,kujira17vm6qd44wua7lgptcge3w45wufze8lcvr2hrgt,
2022-08-08 14:08:19,osmosis,osmosis,osmosis,E3B2B47EC83E466B36AA30D2A97B0CF9D4C3D77604BA010A8AE49315B9D8B938,,lose,0.003122,osmo/osmosis,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,fee,
2022-08-13 05:58:08,osmosis,osmosis,osmosis,EB214DFDE87187F3168E7E862B701C43C798B95D92092E1045A0629491090FCA,57389729-e9cb-4239-9ba9-9648cd383e6e,receive,8.4,atom,osmo1yl6hdjhmkf37639730gffanpzndzdpmhxy9ep3,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-08-13 05:58:32,osmosis,osmosis,swap,18478A7FEFEA711EF9AFB46D936434A9274BD23C2EF71EF920A38EFC4C94ADC8,8c748137-75f5-4667-8391-990cff5c673b,lose,8.4,atom,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,
2022-08-13 05:58:32,osmosis,osmosis,swap,18478A7FEFEA711EF9AFB46D936434A9274BD23C2EF71EF920A38EFC4C94ADC8,8c748137-75f5-4667-8391-990cff5c673b,get,84.067963,osmo,osmo1mw0ac6rwlp5r8wapwk3zs6g29h8fcscxqakdzw9emkne6c8wjp9q0t3v8t,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,
2022-08-13 05:59:22,osmosis,osmosis,osmosis,A838CC3309C4C616FE64CE9EDEA2A0ECA9D8424EF12034F913FA80CA0E852F5E,,send,101.654119,ibc%2FD189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,osmo17vm6qd44wua7lgptcge3w45wufze8lcv6extnn,kujira17vm6qd44wua7lgptcge3w45wufze8lcvr2hrgt,
